ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
121,Malaysia,MY,MYS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.036,-0.088,-0.104,0.019,-0.24,0.138,-0.141,-0.093,0.224,0.096,-0.215,0.053,0.317,-0.193,-0.017,-0.14,0.14,0.254,0.351,0.276,0.214,0.213,0.559,-0.058,0.137,0.164,0.485,0.448,0.093,0.497,0.368,0.349,0.167,0.308,0.431,0.325,0.588,1.138,0.385,0.361,0.575,0.674,0.693,0.658,0.867,0.605,0.652,0.534,0.754,0.977,0.603,0.773,0.957,0.976,1.13,1.577,1.109,1.172,1.428,1.358
122,Maldives,MV,MDV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,-0.054,,,,0.43,-0.16,-0.243,0.227,,,0.221,0.586,-0.133,-0.324,0.008,-0.019,-0.17,0.082,0.183,0.132,0.319,0.476,0.206,0.068,0.242,0.493,0.809,-0.011,0.579,0.615,0.225,0.241,0.44,0.707,0.453,0.58,0.919,0.311,0.277,0.475,0.634,0.535,0.404,0.859,0.402,0.45,0.225,0.556,0.683,0.538,0.526,0.592,0.672,0.806,0.846,0.707,0.65,0.918,0.933
123,Mali,ML,MLI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.301,-0.162,0.203,-0.141,-0.316,0.012,-0.137,-0.297,0.673,0.403,0.032,0.317,0.538,-0.406,-0.445,-0.348,0.385,0.389,0.673,0.996,0.419,0.295,0.849,0.632,0.558,0.335,1.122,0.822,0.143,0.956,0.757,0.266,1.081,0.27,0.647,1.225,0.915,1.238,0.414,0.721,0.641,1.286,1.31,1.247,1.426,1.145,0.979,0.585,1.038,1.723,1.296,0.438,0.99,0.852,1.094,1.161,1.406,1.179,1.242,1.171
124,Malta,MT,MLT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.53,0.388,-0.145,0.306,-0.167,0.19,0.191,0.01,-0.088,-0.102,-0.226,-0.255,0.039,-0.193,-0.323,-0.644,0.365,-0.541,0.099,-0.459,-0.317,0.645,0.071,-0.244,0.443,0.398,0.503,1.156,0.184,1.211,0.12,0.245,0.588,1.377,0.42,0.6,1.016,0.84,1.25,1.067,1.677,0.934,1.353,0.649,0.612,0.909,1.314,1.148,0.884,1.073,0.831,1.289,1.222,1.419,1.429,1.682,1.142,1.344,0.949,1.238
125,"Marshall Islands, Rep. of the",MH,MHL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,0.101,-0.054,0.225,0.045,0.139,0.05,0.031,-0.246,-0.132,0.192,0.352,0.318,0.458,0.335,0.257,0.262,0.014,0.217,0.383,0.198,0.55,0.544,0.607,0.5,0.804,0.611,0.397,0.605,0.719
126,Martinique,MQ,MTQ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.067,0.131,0.222,0.034,-0.293,0.054,-0.268,-0.215,0.393,0.14,-0.226,-0.073,0.137,-0.422,-0.442,-0.445,0.05,0.108,0.218,0.386,0.424,0.119,0.444,-0.026,-0.065,-0.005,0.562,0.372,-0.078,0.258,0.33,0.258,0.381,0.493,0.586,0.376,0.557,0.981,0.409,0.14,0.39,0.535,0.644,0.355,0.669,0.567,0.65,0.201,0.391,1.031,0.446,0.538,0.539,0.474,0.71,0.87,0.625,0.407,0.576,0.845
127,"Mauritania, Islamic Rep. of",MR,MRT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.087,0.105,0.069,0.04,-0.543,0.117,-0.219,-0.473,0.613,0.706,-0.323,-0.064,0.48,-0.686,-0.315,-0.569,0.625,0.532,0.948,0.877,0.868,0.546,1.578,0.538,0.555,0.247,1.532,0.882,0.687,1.448,0.832,0.848,1,0.563,1.171,1.515,1.261,1.767,0.536,1.185,1.342,1.28,1.192,1.283,1.343,1.456,1.05,1.332,0.971,2.021,1.661,0.829,1.459,1.357,1.357,1.591,1.911,1.008,1.426,1.815
128,Mauritius,MU,MUS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.481,-0.099,-0.137,-0.249,-0.162,-0.013,0.086,-0.193,0.319,0.363,-0.293,0.173,-0.048,-0.669,-0.059,0.1,0.601,0.41,0.435,0.477,0.263,0.365,0.4,-0.122,0.06,0.296,0.762,0.579,0.199,0.356,0.629,0.301,0.283,0.697,0.577,0.304,0.861,1.105,0.399,0.386,0.77,0.674,0.961,0.575,0.625,0.441,0.77,0.57,1.193,1.347,1.178,0.954,1.102,1.051,1.382,1.362,1.562,1.299,1.762,1.467
129,Mayotte,YT,MYT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.333,-0.096,-0.234,-0.049,-0.488,0.1,0.17,-0.467,0.138,0.154,-0.75,-0.188,0.123,-0.568,-0.214,,,0.132,0.061,0.229,0.153,0.476,0.235,-0.545,-0.25,-0.044,0.336,0.323,-0.297,0.093,0.236,0.083,0.193,0.494,0.314,-0.046,0.314,0.716,0.161,0.156,0.318,0.764,0.437,0.343,0.483,0.262,0.717,0.532,0.891,1.135,0.877,0.782,0.678,0.872,1.098,1.003,1.239,1.028,1.588,1.336
130,Mexico,MX,MEX,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.127,0.215,0.248,-0.273,-0.062,-0.252,-0.112,-0.425,0.175,-0.303,-0.065,0.3,-0.168,-0.088,-0.332,-0.491,-0.001,0.173,-0.07,0.379,0.15,0.561,0.009,-0.119,0.069,0.268,-0.156,0.138,0.444,0.233,0.218,0.048,0.291,0.677,0.77,0.527,0.447,0.677,0.585,0.575,0.495,0.656,0.806,0.289,0.727,0.861,0.467,0.524,1.039,0.237,0.978,0.864,0.698,0.797,1.048,1.236,1.474,1.105,1.246,1.571
